DATE,wait_time,HOLIDAYPX,HOLIDAY,HOLIDAYM,AKHOURS,AKHOURSEMH,AKEMHMORN,AKEMHEVE,inSession,inSession_Florida,inSession_sqrt_WDW,WDWTICKETSEASON,WDWevent,AKevent,WDWMAXTEMP,WDWMINTEMP
1/1/2012,21.66666667,0,1,5,12,12,0,0,10,23,13,,0,0,77.29,54.56
1/2/2012,21.25,2,0,5,12,13,1,0,10,23,13,,0,0,65.46,48.8
1/3/2012,9.5,3,0,0,10,10,0,0,65,70,74,,0,0,48.61,37.54
1/4/2012,31.22222222,4,0,0,12,13,1,0,75,73,82,,0,0,57.05,33.34
1/5/2012,44.61538462,5,0,0,11,11,0,0,77,77,85,,0,0,68,35.66
1/6/2012,28.36363636,6,0,0,10,10,0,0,76,75,84,,0,0,70.78,45.39
1/7/2012,25.38461538,7,0,0,10,10,0,0,76,75,84,,0,0,72.39,46.29
1/8/2012,9.454545455,8,0,0,8,8,0,0,91,94,96,,0,0,76.33,48.73
1/9/2012,10.52941176,8,0,0,8,9,1,0,91,94,96,,0,0,76,52.67
1/10/2012,18.41176471,7,0,0,8,8,0,0,92,98,98,,0,0,77.45,53.41
1/11/2012,10,6,0,0,8,9,1,0,92,98,98,,0,0,71.06,58.6
1/12/2012,9.833333333,5,0,0,8,8,0,0,92,98,98,,0,0,76.7,53.72
1/13/2012,15.1,4,0,0,8,8,0,0,89,98,94,,0,0,63.63,48.44
1/14/2012,29.69230769,3,0,2,11,11,0,0,89,98,94,,0,0,55.74,41.78
1/15/2012,36.875,2,0,2,11,11,0,0,0,0,0,,0,0,67.09,35.95
1/16/2012,20,0,1,0,8,9,1,0,0,0,0,,0,0,70.94,44.13
1/17/2012,8.8,2,0,2,8,8,0,0,91,87,91,,0,0,75.41,49.48
1/18/2012,5,3,0,2,8,8,0,0,94,98,99,,0,0,75.78,53.14
1/19/2012,8.333333333,4,0,2,8,9,1,0,94,98,99,,0,0,71.11,49.44
1/20/2012,11.38461538,5,0,0,8,8,0,0,86,65,82,,0,0,75.65,44.62
1/21/2012,17.27272727,6,0,0,10,10,0,0,86,65,82,,0,0,75.8,52.25
1/22/2012,21.66666667,7,0,0,10,10,0,0,85,93,89,,0,0,78.79,50.05
1/23/2012,10,8,0,0,8,9,1,0,85,93,89,,0,0,80.56,54.96
